id,fips,econ_year,unemp_rate,num_unemployed
397,12123,2020,6.2,510
398,12125,2020,4.7,216
399,12127,2020,7.6,18975
400,12129,2020,4.5,669
401,12131,2020,5.9,1887
402,12133,2020,5.8,549
403,13000,2020,6.5,330964
404,13001,2020,4.7,431
405,13003,2020,3.9,172
406,13005,2020,4.9,227
407,13007,2020,6,69
408,13009,2020,6.9,1219
409,13011,2020,4.3,419
410,13013,2020,5.1,2055
411,13015,2020,6.2,3107
412,13017,2020,6.9,377
413,13019,2020,5.8,428
414,13021,2020,7.5,5050
415,13023,2020,6.5,292
416,13025,2020,5.4,377
417,13027,2020,5.2,354
418,13029,2020,5.3,986
419,13031,2020,6.5,2419
420,13033,2020,7.2,647
421,13035,2020,6.2,664
422,13037,2020,5.1,113
423,13039,2020,4.7,997
424,13043,2020,4.4,250
425,13045,2020,6.4,3466
426,13047,2020,4.3,1417
427,13049,2020,3.8,182
428,13051,2020,7.6,10713
429,13053,2020,6.2,124
430,13055,2020,8.4,820
431,13057,2020,4.9,6464
432,13059,2020,6.4,3753
433,13061,2020,12.4,111
434,13063,2020,10.3,14433
435,13065,2020,4,117
436,13067,2020,5.9,24453
437,13069,2020,5.8,1103
438,13071,2020,4.5,979
439,13073,2020,4.2,3145
440,13075,2020,4.7,384
441,13077,2020,6.2,4584
442,13079,2020,5,277
443,13081,2020,7.9,748
444,13083,2020,4.1,322
445,13085,2020,4.7,584
446,13087,2020,4.8,541
447,13089,2020,8,31474
448,13091,2020,6,415
449,13093,2020,7.7,378
450,13095,2020,8.6,3243
451,13097,2020,7.4,5367
452,13099,2020,5.8,256
453,13101,2020,3.9,74
454,13103,2020,5,1573
455,13105,2020,6.9,551
456,13107,2020,7.1,603
457,13109,2020,5.1,257
458,13111,2020,4.7,524
459,13113,2020,5.4,3055
460,13115,2020,6.3,2712
461,13117,2020,4.6,5533
462,13119,2020,5.9,584
463,13121,2020,8,44639
464,13123,2020,4.7,562
465,13125,2020,4.1,51
466,13127,2020,6.8,2605
467,13129,2020,5.5,1531
468,13131,2020,4.4,462
469,13133,2020,5.9,417
470,13135,2020,6.3,30544
471,13137,2020,5.4,1016
472,13139,2020,4.7,4816
473,13141,2020,8.8,223
474,13143,2020,5.9,720
475,13145,2020,4.6,764
476,13147,2020,5.4,616
477,13149,2020,6.5,334
478,13151,2020,7.4,8521
479,13153,2020,5.2,3649
480,13155,2020,5.5,191
481,13157,2020,4.4,1738
482,13159,2020,4.9,334
483,13161,2020,5.1,314
484,13163,2020,6.7,449
485,13165,2020,6.3,200
486,13167,2020,4.9,198
487,13169,2020,4.6,609
488,13171,2020,6.3,504
489,13173,2020,5.2,194
490,13175,2020,6.7,1292
491,13177,2020,4.6,682
492,13179,2020,6.2,1601
493,13181,2020,5.4,190
494,13183,2020,4.4,357
495,13185,2020,6,3115
496,13187,2020,4.8,792
497,13189,2020,7.8,679
498,13191,2020,5.7,340
499,13193,2020,6.7,311
500,13195,2020,5.2,670
501,13197,2020,5.1,163
502,13199,2020,8.6,755
503,13201,2020,4,112
504,13205,2020,6.5,538
505,13207,2020,5.1,650
506,13209,2020,5.4,210
507,13211,2020,5.4,497
508,13213,2020,7.6,1159
509,13215,2020,7.8,6049
510,13217,2020,7.1,3699
511,13219,2020,3.8,721
512,13221,2020,4.8,327
513,13223,2020,5.4,4595
514,13225,2020,6.2,730
515,13227,2020,4.8,717
516,13229,2020,4.5,385
517,13231,2020,5,432
518,13233,2020,6,1092
519,13235,2020,4.5,179
520,13237,2020,6.6,539
521,13239,2020,6.5,52
522,13241,2020,5.3,384
523,13243,2020,5.9,147
524,13245,2020,7.6,6463
525,13247,2020,7.6,3332
526,13249,2020,4.3,93
527,13251,2020,8.2,412
528,13253,2020,5,155
529,13255,2020,7.6,2149
530,13257,2020,6.4,669
531,13259,2020,5.7,142
532,13261,2020,7.4,924
533,13263,2020,6.9,189
534,13265,2020,7.2,38
535,13267,2020,4.3,414
536,13269,2020,6.7,183
537,13271,2020,9.9,374
538,13273,2020,7.5,262
539,13275,2020,6.2,1056
540,13277,2020,5.1,1037
541,13279,2020,6.6,794
542,13281,2020,6.7,256
543,13283,2020,6,163
544,13285,2020,7.3,2721
545,13287,2020,7.2,236
546,13289,2020,7.4,207
547,13291,2020,4.4,458
548,13293,2020,6.6,750
549,13295,2020,4.9,1495
550,13297,2020,5.4,2441
551,13299,2020,5.6,852
552,13301,2020,6.8,179
553,13303,2020,6.4,445
554,13305,2020,5.6,646
555,13307,2020,5.7,57
556,13309,2020,7.2,116
557,13311,2020,4.4,706
558,13313,2020,7.3,3138
559,13315,2020,5.7,156
560,13317,2020,6.7,248
561,13319,2020,5.4,203
562,13321,2020,5.4,475
563,15000,2020,11.6,75395
564,15001,2020,11.4,10133
565,15003,2020,10.2,44779
566,15005,2020,0,0
567,15007,2020,16.2,5719
568,15009,2020,17.8,14764
569,16000,2020,5.4,47786
570,16001,2020,5.4,13893
571,16003,2020,9.3,164
572,16005,2020,4.9,2065
573,16007,2020,4.2,129
574,16009,2020,7.5,310
575,16011,2020,3.9,916
576,16013,2020,7.8,987
577,16015,2020,8,288
578,16017,2020,7.5,1592
579,16019,2020,4,2347
580,16021,2020,6.2,339
581,16023,2020,3.6,50
582,16025,2020,4.8,33
583,16027,2020,5.9,6218
584,16029,2020,3.6,148
585,16031,2020,3.7,454
