id,fips,econ_year,num_civ_labor_force,num_employed
17281,19161,2020,5167,4986
17282,19163,2020,86403,80541
17283,19165,2020,6318,6090
17284,19167,2020,20757,20199
17285,19169,2020,56458,54422
17286,19171,2020,9225,8753
17287,19173,2020,3064,2952
17288,19175,2020,6147,5786
17289,19177,2020,3667,3497
17290,19179,2020,17328,16293
17291,19181,2020,27577,26321
17292,19183,2020,11490,11021
17293,19185,2020,2783,2658
17294,19187,2020,18615,17638
17295,19189,2020,5025,4703
17296,19191,2020,11095,10550
17297,19193,2020,54467,51606
17298,19195,2020,4082,3861
17299,19197,2020,6960,6684
17300,20000,2020,1497003,1408995
17301,20001,2020,6392,6045
17302,20003,2020,4250,4075
17303,20005,2020,6856,6385
17304,20007,2020,2324,2246
17305,20009,2020,13680,13046
17306,20011,2020,6747,6367
17307,20013,2020,5153,4923
17308,20015,2020,32533,30403
17309,20017,2020,1465,1384
17310,20019,2020,1482,1392
17311,20021,2020,10016,9494
17312,20023,2020,1314,1285
17313,20025,2020,1145,1122
17314,20027,2020,3807,3636
17315,20029,2020,3865,3708
17316,20031,2020,3901,3697
17317,20033,2020,860,830
